"uzemi_txt","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","pocet_bodovanych_ridicu","celkovy_pocet_ridicu","pohlavi_txt","uzemi_typ","stav_k_datu"
"Hlavní město Praha",2574,11931,2356,14225,829,5126,1752,1265,393,633,389,3676,45149,913409,"celkem","kraj","2025_03"
"Blatná",15,139,22,110,6,54,20,9,1,9,0,54,439,10501,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"České Budějovice",400,2473,332,1915,116,770,217,160,54,72,55,491,7055,113415,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Český Krumlov",47,448,114,360,22,190,64,28,12,14,15,219,1533,27180,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Dačice",25,120,43,147,9,60,38,6,6,2,2,54,512,12685,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jindřichův Hradec",103,741,107,388,46,181,80,30,17,19,16,222,1950,32971,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kaplice",31,145,59,188,18,82,44,8,5,9,7,116,712,13071,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Milevsko",21,203,40,191,11,59,19,9,2,5,8,54,622,12657,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Písek",109,756,117,537,41,242,71,44,20,15,16,158,2126,35667,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Prachatice",52,367,76,318,22,144,57,27,10,14,18,160,1265,22928,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Soběslav",46,285,45,256,15,103,29,14,12,14,5,69,893,14994,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Strakonice",97,469,114,359,26,141,55,35,12,15,13,155,1491,30609,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Tábor",75,944,155,874,28,251,117,60,20,38,25,225,2812,54461,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Trhové Sviny",27,261,46,184,9,61,27,11,5,11,5,85,732,13387,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Třeboň",38,447,84,283,29,111,38,29,11,16,9,99,1194,16920,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Týn nad Vltavou",25,214,30,142,6,55,16,15,3,9,6,71,592,9610,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vimperk",42,157,37,180,11,65,36,12,3,8,6,77,634,11898,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vodňany",18,138,29,119,7,67,18,13,2,9,4,37,461,8045,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jihočeský kraj",1171,8307,1450,6551,422,2636,946,510,195,279,210,2346,25023,440999,"celkem","kraj","2025_03"
"Blansko",82,476,103,466,31,158,78,22,14,17,20,117,1584,36663,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Boskovice",67,638,102,488,28,193,72,50,14,22,13,134,1821,33879,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Brno",838,3552,673,4192,228,1666,538,354,111,180,125,1131,13588,238446,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Břeclav",87,857,151,1303,43,340,107,74,16,31,19,177,3205,39333,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Bučovice",32,175,32,195,15,63,24,21,3,13,6,41,620,10680,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hodonín",77,696,119,555,29,248,82,49,13,27,21,197,2113,39618,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hustopeče",38,500,65,675,23,180,52,48,13,24,8,110,1736,24121,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Ivančice",24,189,38,210,9,81,40,18,6,10,11,80,716,16254,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kuřim",46,177,44,219,9,66,26,14,5,7,8,62,683,15073,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kyjov",61,532,83,510,23,230,65,32,9,29,16,138,1728,36683,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Mikulov",24,311,52,329,16,109,46,23,6,12,8,83,1019,13122,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Moravský Krumlov",33,213,47,177,20,59,41,20,7,8,5,73,703,15263,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Pohořelice",30,296,37,295,9,78,23,14,3,9,7,56,857,9651,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Rosice",54,429,62,565,21,304,50,38,9,22,5,107,1666,17330,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Slavkov u Brna",37,226,50,294,9,104,34,17,4,7,4,58,844,15909,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Šlapanice",168,850,142,1031,58,468,82,72,12,46,6,139,3074,46446,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Tišnov",41,273,62,250,10,76,43,22,5,8,5,60,855,21140,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Veselí nad Moravou",61,381,64,335,24,172,62,35,11,15,10,112,1282,24917,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vyškov",76,934,98,889,36,254,93,77,21,29,15,138,2660,34005,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Znojmo",118,1012,210,828,42,331,137,67,22,38,33,282,3120,60759,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Židlochovice",71,482,60,481,22,333,59,33,9,22,9,86,1667,21224,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jihomoravský kraj",2065,13199,2294,14287,705,5513,1754,1100,313,576,354,3381,45541,770516,"celkem","kraj","2025_03"
"Aš",14,163,34,136,3,71,31,13,3,9,9,109,595,10408,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Cheb",83,664,122,461,31,238,85,44,7,26,36,247,2044,31543,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Karlovy Vary",174,1086,205,1087,79,398,130,106,25,55,31,426,3802,57110,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kraslice",19,175,33,127,14,56,21,9,3,5,6,96,564,7776,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Mariánské Lázně",30,258,56,236,9,97,57,17,5,9,15,123,912,15561,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Ostrov",43,387,70,299,18,119,40,34,7,9,13,127,1166,17542,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Sokolov",93,940,161,858,50,266,118,86,22,40,40,564,3238,46669,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Karlovarský kraj",456,3673,681,3204,204,1245,482,309,72,153,150,1692,12321,186609,"celkem","kraj","2025_03"
"Bystřice nad Pernštejnem",19,168,32,114,8,84,35,8,3,4,3,32,510,13426,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Havlíčkův Brod",119,1036,105,738,32,386,57,53,15,36,12,146,2735,35591,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Humpolec",47,425,41,373,17,294,28,32,13,25,2,50,1347,12410,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Chotěboř",30,276,29,157,17,75,33,10,3,4,4,57,695,14779,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jihlava",168,1286,210,1536,56,825,136,95,32,78,28,229,4679,65154,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Moravské Budějovice",44,297,77,304,19,109,60,20,6,7,5,70,1018,15896,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Náměšť nad Oslavou",15,112,21,108,10,28,8,2,5,5,2,39,355,9494,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nové Město na Moravě",17,158,21,145,4,44,15,9,0,2,4,29,448,13160,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Pacov",14,78,10,76,7,35,10,8,3,2,4,23,270,6360,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Pelhřimov",95,544,104,397,30,182,43,32,14,15,9,131,1596,30648,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Světlá nad Sázavou",26,330,30,132,9,62,17,12,7,8,4,52,689,13269,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Telč",20,118,39,101,6,45,18,8,2,2,2,44,405,8901,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Třebíč",126,888,141,786,48,264,89,57,29,27,22,141,2618,51016,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Velké Meziříčí",85,879,81,919,35,597,66,52,9,52,10,99,2884,25142,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Žďár nad Sázavou",57,443,64,276,16,135,49,15,14,13,11,71,1164,28594,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kraj Vysočina",882,7038,1005,6162,314,3165,664,413,155,280,122,1213,21413,343840,"celkem","kraj","2025_03"
"Broumov",20,391,47,177,9,67,47,13,8,9,16,89,893,9470,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Dobruška",23,239,38,161,5,52,36,12,6,11,5,47,635,13789,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Dvůr Králové nad Labem",55,474,63,364,24,128,49,27,8,11,7,121,1331,18439,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hořice",27,268,43,228,13,91,25,19,5,8,6,60,793,12526,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hradec Králové",292,2354,338,2029,135,668,216,174,51,73,51,418,6799,98671,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jaroměř",45,349,62,377,27,123,44,25,9,13,8,74,1156,12369,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jičín",69,551,89,724,35,183,62,53,19,31,16,175,2007,32926,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kostelec nad Orlicí",33,306,53,280,13,87,36,18,6,9,4,88,933,16971,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Náchod",115,805,147,636,42,239,101,54,20,27,24,219,2429,40082,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nová Paka",14,143,33,108,8,44,6,7,4,2,4,30,403,8866,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nové Město nad Metují",25,138,48,122,6,46,20,11,6,6,3,36,467,9721,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nový Bydžov",42,205,50,248,16,83,25,31,4,18,11,89,822,12054,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Rychnov nad Kněžnou",33,278,63,323,16,121,56,22,10,7,10,107,1046,22923,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Trutnov",137,1352,152,886,71,297,103,87,37,36,29,306,3493,40846,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vrchlabí",43,533,71,372,25,147,46,38,6,12,13,144,1450,17774,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Královéhradecký kraj",973,8386,1297,7035,445,2376,872,591,199,273,207,2003,24657,367427,"celkem","kraj","2025_03"
"Česká Lípa",174,942,190,710,61,376,154,68,26,44,26,482,3253,45677,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Frýdlant",40,259,66,273,16,94,54,18,6,12,17,160,1015,14533,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jablonec nad Nisou",115,695,137,612,46,254,103,71,19,29,25,332,2438,35979,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jilemnice",37,255,56,266,13,98,27,21,7,13,11,79,883,14953,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Liberec",235,1614,316,1574,106,548,226,129,46,70,56,659,5579,90920,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nový Bor",54,312,96,258,19,118,46,31,13,10,11,148,1116,16646,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Semily",32,281,61,244,12,87,29,21,6,10,10,95,888,16978,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Tanvald",82,253,64,279,11,107,40,26,12,17,8,157,1056,12428,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Turnov",53,334,73,411,23,110,47,29,4,17,12,122,1235,22919,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Železný Brod",36,176,28,129,8,51,12,8,8,3,5,37,501,8093,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Liberecký kraj",858,5121,1087,4756,315,1843,738,422,147,225,181,2271,17964,279126,"celkem","kraj","2025_03"
"Bílovec",51,375,59,471,15,166,53,39,8,21,10,85,1353,16292,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Bohumín",85,503,92,671,34,184,82,83,17,33,16,199,1999,20203,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Bruntál",83,608,105,662,46,227,72,62,23,35,22,160,2105,20916,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Český Těšín",63,265,99,582,24,185,86,54,5,22,13,91,1489,15463,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Frenštát pod Radhoštěm",40,234,31,270,17,71,27,23,7,10,8,57,795,12577,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Frýdek-Místek",291,1188,286,2275,141,609,185,203,59,88,50,451,5826,73524,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Frýdlant nad Ostravicí",61,366,91,547,39,169,40,46,10,26,11,98,1504,17273,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Havířov",212,877,195,1275,95,425,161,154,48,66,49,459,4016,50018,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hlučín",82,529,101,763,50,200,71,56,17,18,16,122,2025,26200,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jablunkov",32,180,75,418,16,111,41,33,9,22,9,47,993,14585,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Karviná",146,616,163,1016,66,328,119,112,34,60,43,345,3048,35340,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kopřivnice",81,476,103,654,38,171,56,58,8,26,14,116,1801,25608,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kravaře",54,341,51,334,26,92,44,27,10,10,9,65,1063,14030,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Krnov",118,854,136,777,50,225,94,86,16,40,16,168,2580,23418,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nový Jičín",140,628,145,965,56,255,87,68,31,38,18,182,2613,31303,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Odry",39,247,59,616,21,113,31,49,11,24,5,101,1316,10454,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Opava",206,1676,225,1666,97,486,147,150,46,75,31,262,5067,65298,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Orlová",97,474,100,678,52,207,86,77,30,33,20,242,2096,21196,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Ostrava",789,4762,745,6630,362,1721,578,622,154,226,171,1403,18163,186212,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Rýmařov",26,190,57,197,21,74,38,19,6,6,3,68,705,8848,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Třinec",85,614,180,914,44,241,74,83,20,35,22,124,2436,34641,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vítkov",27,162,40,220,14,67,29,27,9,9,10,66,680,7878,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Moravskoslezský kraj",2808,16165,3138,22601,1324,6327,2201,2131,578,923,566,4911,63673,731277,"celkem","kraj","2025_03"
"Hranice",66,585,87,595,44,169,50,44,12,18,14,93,1777,22338,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Jeseník",72,755,162,534,47,260,100,52,25,27,12,138,2184,22758,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Konice",16,129,34,100,7,55,22,14,1,4,4,34,420,7883,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Lipník nad Bečvou",31,233,57,215,11,76,30,13,8,6,5,57,742,10012,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Litovel",24,200,55,167,9,84,28,14,4,10,5,76,676,15255,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Mohelnice",16,135,45,119,6,59,40,7,4,2,5,64,502,11896,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Olomouc",288,1610,380,1925,124,800,215,153,51,73,38,436,6093,106371,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Prostějov",194,1639,280,1081,79,376,129,98,25,38,34,362,4335,62799,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Přerov",124,997,196,810,48,334,125,61,25,54,34,321,3129,49005,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Šternberk",39,240,72,222,12,95,36,18,9,10,18,120,891,14783,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Šumperk",120,1158,204,672,47,310,136,59,21,37,38,217,3019,42672,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Uničov",34,200,58,195,10,79,40,13,8,16,7,78,738,14051,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Zábřeh",33,408,92,312,24,116,55,29,9,19,7,89,1193,20697,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Olomoucký kraj",1057,8289,1722,6947,468,2813,1006,575,202,314,221,2085,25699,400520,"celkem","kraj","2025_03"
"Česká Třebová",33,106,45,238,9,71,39,17,11,3,4,59,635,11110,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Hlinsko",46,278,54,300,22,118,42,22,5,8,3,49,947,14047,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Holice",41,354,38,365,22,93,35,36,5,20,7,47,1063,12349,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Chrudim",172,1118,177,1190,70,442,152,106,39,45,36,265,3812,56790,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Králíky",16,107,20,104,4,44,16,8,5,10,5,40,379,5290,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Lanškroun",30,214,41,224,12,95,36,12,5,3,11,97,780,14789,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Litomyšl",41,280,48,318,14,104,40,28,3,12,6,62,956,18308,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Moravská Třebová",29,339,64,269,22,119,38,22,13,11,12,119,1057,16053,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Pardubice",259,1937,300,1725,112,660,210,162,54,85,39,363,5906,86161,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Polička",35,197,41,145,15,71,32,6,9,8,4,44,607,12870,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Přelouč",37,334,46,286,19,124,47,27,7,11,8,99,1045,17357,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Svitavy",47,323,61,382,18,138,52,43,8,14,11,102,1199,19168,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Ústí nad Orlicí",61,226,69,314,18,100,50,34,12,8,9,42,943,17513,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Vysoké Mýto",61,387,73,411,28,160,60,39,14,13,16,104,1366,21308,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Žamberk",68,337,66,355,24,111,57,33,8,11,11,55,1136,19859,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Pardubický kraj",976,6537,1143,6626,409,2450,906,595,198,262,182,1547,21831,342972,"celkem","kraj","2025_03"
"Blovice",14,179,24,122,8,26,17,12,3,2,4,35,446,8725,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Domažlice",53,394,93,500,24,176,90,39,16,24,17,108,1534,27936,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Horažďovice",18,94,21,92,2,55,14,9,2,1,4,43,355,7924,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Horšovský Týn",21,191,37,187,9,75,20,15,5,12,4,69,645,10135,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Klatovy",72,620,105,480,36,189,72,32,17,15,16,142,1796,35288,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Kralovice",38,354,42,230,17,97,18,20,10,9,9,86,930,17537,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nepomuk",27,151,32,112,11,40,21,7,4,3,2,53,463,8476,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Nýřany",90,1157,120,805,42,293,74,64,18,25,25,227,2940,40468,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Plzeň",321,3371,362,2266,147,796,283,206,90,104,79,673,8698,125847,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Přeštice",41,303,45,258,15,83,38,20,6,13,4,83,909,18524,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Rokycany",87,1210,105,877,42,273,95,71,22,30,16,141,2969,34575,"celkem","správní obvod obce s rozšířenou působností","2025_03"
"Stod",36,341,41,260,10,107,41,31,7,6,5,102,987,15343,"celkem","správní obvod obce s rozšířenou působností","2025_03"
